stop_id,pop_within_200m,pop_within_500m,pop_within_1km
0110AST,0,0,0
0110AUK,447,2799,13259
0110BAA,0,0,0
0110BDO,268,1929,7852
0110BLV,712,4216,16145
0110BNI,0,0,0
0110BUK,0,0,0
0110CEJ,0,0,0
0110COH,0,0,0
0110CUT,447,2799,11197
0110DAS,617,3863,15807
0110FRM,0,0,0
0110FSA,447,2909,14144
0110GAC,0,0,0
0110GTH,0,297,2728
0110HHH,1240,7412,26508
0110HUN,788,4719,18202
0110IDR,746,4262,16247
0110ILU,0,0,0
0110IRT,1240,7752,26493
0110ISR,0,0,0
0110KAU,0,0,0
0110KGQ,1067,6443,23653
0110KKB,52,955,5839
0110KRS,0,0,0
0110KSL,1067,6672,24813
0110LAR,447,2799,11183
0110LCM,0,0,0
0110LHL,0,0,0
0110LIG,447,2799,11197
0110LJA,0,0,1
0110MKT,0,0,0
0110MTS,460,3607,15706
0110MYA,750,4674,18812
0110NGP,0,0,0
0110NKT,1067,6672,24689
0110NSG,0,0,0
0110OLB,0,0,0
0110OVL,738,4651,20815
0110PBS,216,1029,4011
0110PMA,1181,6985,26566
0110PMT,0,0,0
0110/PU,447,2799,11197
0110R/B,447,2799,12994
0110REU,0,0,0
0110REV,447,2747,9644
0110RID,615,3537,13438
0110RIS,447,2334,8698
0110RNO,447,2799,11197
0110ROA,949,6394,26015
0110ROS,288,1975,7957
0110RRS,447,2799,10787
0110RTC,0,121,2005
0110RTU,685,4160,16040
0110SAI,1240,7611,26393
0110SIH,0,54,2696
0110SOI,447,2799,11197
0110SPU,0,0,0
0110SRT,617,3859,15632
0110SSA,447,2799,11197
0110TAA,1155,6928,26541
0110TOH,447,2799,9758
0110TPA,736,4647,20794
0110TUQ,0,0,187
0110TVM,0,0,0
0110UMI,0,0,2610
0110UMK,0,0,0
0110UNA,447,2799,11197
0110VKS,710,4642,22531
0110VMT,447,2799,11197
0110WAM,0,0,0
0110WOJ,2993,18588,69358
0110WRS,447,2799,11033
0110YIL,718,4567,21923
0110YSP,739,4608,18181
01114IA,2871,16353,64487
0111A26,0,0,0
0111AAR,63,877,5044
0111ACP,798,4812,19400
0111AES,447,2799,11197
0111AIT,447,3380,15225
0111AKA,0,0,0
0111AKS,1047,5529,21161
0111ALA,447,2705,9686
0111AMB,0,0,0
0111AMK,0,0,0
0111ARD,0,0,0
0111ATA,737,4374,16515
0111AWM,2993,18853,68820
0111AXM,0,0,0
0111AYS,0,0,0
0111BAA,0,0,0
0111BAG,0,0,0
