stop_id,pop_within_200m,pop_within_500m,pop_within_1km
0211RNE,116,751,5296
0211RSB,2207,12364,48831
0211RUI,0,0,0
0211S5K,377,2359,9438
0211SAA,1644,11786,49672
0211SEB,377,2359,9438
0211SEO,72,451,1992
0211SEW,0,0,0
0211SHM,7702,46175,180562
0211SHP,532,3325,13217
0211SHR,1017,6681,43884
0211SLR,184,1226,5888
0211SMC,5497,36175,151290
0211SOW,0,0,416
0211SRK,757,5467,43175
0211SSN,2719,16780,56696
0211STD,1914,12535,49891
0211STM,1358,9345,43541
0211SYT,377,2359,9547
0211TAI,3007,23941,102224
0211TAM,796,9431,65076
0211TGA,0,0,0
0211TIG,0,0,0
0211TIR,0,0,0
0211TMQ,0,0,0
0211TND,0,0,0
0211TOA,72,462,2995
0211TOR,540,3357,13519
0211UNN,0,0,0
0211UNR,0,0,0
0211USG,184,1156,5222
0211USM,1205,7012,26996
0211UUN,0,0,0
0211VIN,0,0,0
0211VSI,8247,55650,232362
0211VSR,5272,30901,141606
0211WAK,324,1769,6755
0211WKN,305,1839,11672
0211WOK,0,0,0
0211WSR,1002,6858,43526
0211WTH,0,0,0
0211XLE,8265,54526,226178
0211YMY,7555,38764,165940
0211YTA,0,0,0
0211YTC,378,2367,8609
0212APT,6174,34018,144761
0212BST,757,6779,46503
0212DDT,965,11796,59936
0212GBT,6292,41188,130744
0212GRD,799,8587,52949
0212GTP,0,5099,28428
0212KRT,805,14018,62699
0212KUS,757,4801,23469
0212NGS,757,5663,41941
0212RSY,3305,15923,55840
0212RUS,81,798,4662
0212SNT,757,4788,25332
0212TKT,757,4768,39089
0213BDT,7047,45537,180815
0213DRD,0,0,0
0213GGD,0,0,0
0213GHD,1721,11769,37440
0213KHO,0,0,0
0213LUD,4812,31410,152966
0213MAT,12536,78714,271725
0213MKU,291,1697,6488
0213MRY,0,0,0
0213NGB,3340,21745,93997
0213PGG,0,0,0
0213RNS,8659,49912,212524
0213STG,378,2597,15128
0213TKD,0,0,0
0213TMA,0,0,0
0213WTD,1067,6725,27155
0300AHE,6589,41392,159958
0300AIA,7724,38266,96496
0300AOK,126,1161,9801
0300AOU,1687,17358,94545
0300AYM,4517,26889,100088
0300BAS,7849,57194,234495
0300BCM,7570,38744,159355
0300BPS,7517,52446,189362
0300DSC,6299,39530,176989
0300E2S,6589,46076,177700
0300ENG,5603,38781,158594
0300EQT,1240,10348,55879
0300FM,2228,16756,109996
0300FTY,6475,45919,173614
0300GER,6589,42916,168765
0300GHT,7720,52666,188020
0300IDA,2228,13154,83614
0300JAS,16742,89315,277580
0300KAR,5507,25174,80944
0300KRE,6963,29669,86850
0300KRG,11279,68990,283294
0300LSE,1516,8694,76821
0300MAA,2228,24150,123597
0300MAR,11578,61759,159702
0300MF,2228,15516,106097
0300MIA,3667,24546,106418
0300MLG,7967,51403,142878
0300MSB,1385,8295,72520
0300MUT,10090,57895,195139
0300NFI,6589,35301,127949
0300NGE,1460,15418,64328
0300NME,7560,50652,171388
0300NRG,14283,74985,177452
0300OBI,11000,51241,184427
0300OLE,1699,17233,80719
0300OPE,12088,59789,192327
0300PST,1240,7278,36106
0300R0D,6589,35064,126546
0300RND,8004,48241,209153
0300SAU,16025,77081,255421
0300UIH,15971,101541,298146
0300UJT,4651,27906,109824
0300UNE,9277,56944,207394
0300ZII,7772,41301,106886
0300ZIN,7712,37649,95131
0300ZWN,7441,34343,91588
03014HM,6368,32796,120901
0301ACC,6726,33542,138024
0301AIC,6727,34329,143888
0301AIZ,7685,37716,95722
0301ALB,13580,71393,181721
0301ASN,5446,35192,120540
0301ASP,7899,58786,178525
0301AUN,9648,57083,197509
0301AWB,10049,54521,201792
0301BAS,10998,65466,249831
0301BHS,9892,45573,165497
0301EGG,6076,31703,119535
0301FLT,11576,64190,243511
0301FM,2228,18286,113631
0301GEE,9238,48823,150707
0301ICH,8108,57814,235183
0301IDB,6093,32537,119722
0301III,7738,38404,96575
0301IRA,6835,29364,86709
0301JUN,4079,25126,102019
0301KDC,5827,26041,82592
0301KMB,15028,68437,157839
0301LJH,4226,25588,94256
0301LLS,1661,15749,93352
0301MAP,12425,60778,191843
0301MBK,14820,69816,160062
0301MBP,2228,26586,126116
0301MF,2228,17893,112712
0301MJA,10347,53178,183822
0301MLG,8054,51454,142434
0301MOH,6299,39374,179755
0301MSB,1377,8279,72377
0301MTS,16456,102827,298476
0301MYA,4200,25998,97747
0301NGE,1238,12870,60492
0301NUN,2798,20203,85746
0301OIO,6299,41866,175139
0301OSK,6835,39165,156169
0301PST,1240,7359,32650
0301RDR,8372,50250,212737
0301ROD,6589,35168,127002
0301/RR,7701,39068,167317
0301SNT,14700,76732,173230
0301.ST,126,1046,9103
0301TAO,6106,36481,125116
0301TOT,1240,9320,53581
0301TTS,14751,76762,173172
0301TUJ,13128,69940,183319
0301URE,1170,7652,31355
0301WAI,7353,33847,91260
0301WTE,1464,12583,68466
0301YAM,6076,34853,154366
0302RND,8203,48700,210077
0303GKM,6368,41407,130332
0303KND,8797,55459,190179
0303KRG,12156,71471,285936
0303KST,11030,68399,282598
0303PGT,2112,11420,78320
03106SE,10278,57854,196669
0310AAA,7786,39141,146887
0310ACC,6739,33398,137693
0310ADA,128,773,3396
0310AE.,14366,74316,168110
0310AEA,14477,70129,160871
0310AMB,2228,25330,124949
0310ANS,5591,33832,114287
0310BAO,9404,52608,204106
0310BH,8917,43685,162794
0310CHF,8461,55581,225786
0310DUN,10430,59499,195300
0310EAS,12253,74499,175101
0310ENA,8250,57703,177412
0310EQT,6299,40513,177790
0310FLT,9639,66328,253510
0310FRC,7956,42452,162302
0310GEG,9632,50001,152346
0310GTR,6589,41568,161618
0310HAA,9419,59142,225509
0310IES,10163,58734,184442
0310IKE,1240,7752,26725
0310IKK,5252,25302,76850
0310JAK,757,5203,23089
0310JAY,12955,69836,183356
0310JMT,4928,31574,118865
0310JNH,9514,59226,227377
0310JST,10626,61996,231257
0310JUN,4025,24991,101664
0310LBW,12184,60904,191690
0310LMH,4107,25245,93628
0310MBO,1595,8973,77837
0310MPP,1633,13460,91123
0310MSB,1464,8484,74869
0310NPI,1773,11416,82495
0310OGP,1767,10343,82221
0310OSO,7705,49694,207277
0310OYT,8791,55275,219233
0310PGG,2087,12369,66744
0310PGP,1515,10735,45703
0310PHI,12037,60235,192050
0310PSE,6589,35480,128373
0310RIS,10087,60758,188932
0310SEN,9835,55119,180789
0310SKA,1822,11188,85956
0310SNT,14679,76281,171579
0310STP,7548,59628,180413
0310TAO,9797,55897,206653
0310TEN,9856,52695,183098
0310TOE,5429,27343,108647
0310TON,2816,21680,97343
0310TOT,8283,49161,176488
0310TUA,1322,17801,97784
0310UYU,5030,32341,167371
0310WSJ,10068,48565,173773
0310YAO,7551,38770,128833
0311AG1,7743,50881,173269
0311AGP,10435,52738,182887
0311ASV,9142,55020,183519
0311AUL,9295,65882,252472
0311BAO,9828,53589,202990
0311BET,7005,33331,141162
0311CHF,8068,58033,235921
0311CIN,6456,34053,133350
0311DIZ,6299,35440,132854
0311DTB,4120,24343,94709
0311ENA,4020,24692,92741
0311EPC,9322,52092,177169
0311ESL,72,451,1805
0311FOR,8249,43769,165153
0311FTY,7018,33274,138291
0311GAM,5921,36510,151346
0311GHS,9894,49990,154446
0311GIO,4024,24457,101579
0311INP,1096,8451,62159
0311ION,16221,77397,256483
0311ISN,9042,54962,183894
0311JOD,1808,11089,85565
0311JSG,10479,61573,231134
0311JUA,7410,46744,171525
0311KAR,4306,22605,75923
0311KEW,12237,52197,185568
0311MAI,6299,40935,176191
0311MAN,14036,71639,181600
0311MBS,4193,32198,143130
0311MNA,13277,69906,183436
0311NJO,13991,81998,292387
0311NNE,6309,35713,134414
0311NNU,1240,6811,30822
0311OTG,3108,22708,94904
0311PGG,2208,12861,76567
0311PGP,1547,10807,46271
0311PQZ,4665,27286,98858
0311PSE,6589,35433,128245
0311.RE,14885,76836,173011
0311RIS,10239,60871,190257
0311RSA,126,810,4817
0311RTO,7327,40616,158917
0311SAN,5650,33813,114059
0311SAS,8734,54776,215595
0311SBE,6589,35324,128010
0311SEN,10034,56047,181778
0311SOK,7690,49759,207604
0311TEN,10101,56154,203538
0311THY,8957,55750,220437
0311TON,2644,21264,97000
0311TOT,8139,48731,175923
0311WAK,72,508,2999
0311WMI,7904,46693,156188
0312BSK,757,5863,43494
0312EST,5153,32608,158696
0312GKM,6260,41150,131432
0312NGR,1240,7429,26417
0312SOK,7767,49894,207768
0313DDS,7410,54999,176529
0313EST,7626,38863,159755
0313JST,9956,60320,228950
0313RND,8135,48795,209956
04001ES,8516,54254,195553
04001LV,4637,28868,112207
040056_,7214,45532,158715
0400AAS,3538,21401,87359
0400ACS,3767,23848,108763
0400AFP,1976,12628,56904
0400ALF,4513,28397,113220
0400AOS,1166,7322,29999
0400AP1,964,12131,101733
0400AP2,961,12194,103081
0400ARR,5317,32591,115190
0400.AS,1279,9000,46274
0400AZS,5449,35306,149323
0400BDC,3538,23387,110389
0400BEC,3321,22469,91173
0400BER,4256,24853,96033
0400BFA,4614,28072,103346
0400BFR,10135,54521,154742
0400BHC,3538,23192,106742
0400BKB,4990,34160,115774
0400BNB,3823,26448,79524
0400BPS,4704,29403,120494
0400BRB,4704,29634,118995
0400BSA,1166,7321,29970
0400CBN,666,4257,25885
0400CHK,129,879,7503
0400CIN,2903,22426,97196
0400CKC,3874,23389,109285
0400CKW,2701,17147,70760
0400CLT,2042,12883,61140
0400CLX,4297,27636,115300
0400CMT,966,7445,81950
0400CNK,378,2367,8425
0400CNR,6669,37720,127333
0400CNT,974,6308,68680
0400CRN,1169,8120,33875
0400CRS,2086,16115,98534
0400CST,4637,29569,106917
0400CSV,7214,37646,126759
0400CTB,3015,22191,81953
0400CTE,4294,27632,115257
0400CWN,1597,10220,42015
0400DAA,2068,12492,47144
0400DC,2715,17256,70382
0400DNB,2086,13781,85731
0400DNE,72,451,1805
0400DSP,7214,51440,171106
0400EAM,6369,46154,180735
0400EES,822,5334,19875
0400EIH,4669,26007,89072
0400ELO,2715,17153,70819
0400ENA,4582,28589,112861
0400EPA,1976,12322,53955
0400ERE,6589,42314,165947
0400ESH,6589,47294,179057
0400EST,3927,24457,103002
0400ETR,3463,23056,93529
0400EUL,72,451,1805
0400EXP,1459,8910,35441
0400FAH,961,12277,100252
0400FDA,966,12017,98409
0400FDE,1183,6778,63451
0400FDS,3538,21673,82253
0400FNN,7214,45311,157637
0400FSX,7214,45422,159350
0400GAM,967,11884,102720
0400GAO,2764,17419,73302
0400GGE,4704,29403,119956
0400GMT,2105,13329,46537
0400GNS,1992,14355,73323
0400GPM,4933,30906,117304
0400GRS,4637,29806,110705
0400HAJ,4149,25292,93735
0400HAW,1976,12351,52103
0400HCC,2094,13066,50099
0400HDH,3538,22793,85379
0400H/M,1950,17941,73527
0400HMN,5755,35714,166885
0400HNB,5317,30735,109410
0400HRB,4704,29479,121239
0400HRS,1976,12351,53691
0400HRU,2708,17130,68871
0400IAC,2910,22444,97244
0400IAK,1007,6174,68906
0400IBO,4704,31426,117855
0400IEA,72,451,1805
0400IGM,7214,45813,162318
0400IIA,1957,13370,61597
0400ILC,7214,48439,166252
0400IND,1166,7290,30645
0400INR,4704,29690,117599
0400IOI,1327,23562,103429
0400IOR,814,4585,17070
0400IRJ,1083,6436,21015
0400IWK,4732,28710,112613
0400JMC,5031,31285,118915
0400JNC,11025,56564,146024
0400JNT,5317,30516,108601
0400JNV,6078,39685,133102
0400JSC,4120,27613,109975
0400JSF,1858,11085,42259
0400JSK,4650,27587,98927
0400KAG,3538,22392,105421
0400KBE,378,1734,5029
0400KBL,6792,27950,81641
0400KCB,10000,62385,248238
0400KCU,4951,30900,119566
0400KDO,3552,30521,139619
0400KFW,7214,39611,135152
0400KHE,6267,37118,126950
0400KIN,1183,7398,26785
0400KMJ,4663,27952,109958
0400KMK,0,0,0
0400KNA,4699,28614,101674
0400KNP,2086,13069,80056
0400KNS,8988,55812,192159
0400KOI,1322,9832,82764
0400KON,11300,65235,175275
0400KOT,3479,19255,74650
0400KPS,10958,51309,136876
0400KRT,1988,11973,44448
0400KRY,0,0,0
0400KSD,1976,12677,56936
0400KSP,7214,40541,138167
0400KTA,3235,19812,92111
0400KTN,2295,23998,78232
0400KWA,1172,7324,30379
0400KWC,4824,30737,118404
0400KWR,1213,14875,85327
0400KYB,1166,7322,31699
0400KYJ,3186,21665,88661
0400LBM,824,5287,19156
0400LET,131,799,3484
0400LKN,2094,15466,70101
0400LLE,827,5408,21837
0400LNC,2126,13811,55798
0400LRA,135,2499,12417
0400LTM,2727,17177,68977
0400MAE,1166,7307,30612
0400MAJ,5764,36097,120507
0400MCW,3309,20652,83496
0400MIU,104,679,3138
0400MKG,3297,20007,92495
0400MLA,2071,14178,62647
0400MLH,4286,26728,107076
0400MNL,3451,18525,73171
0400MRA,10717,45744,130794
0400MRS,1976,12351,53602
0400MRT,4916,30330,112664
0400MSB,3984,24516,92467
0400MTK,0,0,0
0400MTP,4704,29376,111303
0400MTW,4704,29518,116848
0400MYC,4532,27011,100312
0400MYK,6038,34768,153140
0400MZW,3376,21794,92959
0400N10,3645,23455,86448
0400NCC,2742,22026,95897
0400NKN,1303,7681,29344
0400NLI,6653,38564,155202
0400NOI,1166,7290,31336
0400NPC,3575,23081,89818
0400NYD,1322,21207,101197
0400NYV,4204,26920,125220
0400OLC,1083,6784,28778
0400ONA,2086,13104,55881
0400ONT,378,2367,8077
0400OOJ,5314,30100,109107
0400OPS,8154,58590,178315
0400OSO,7214,41021,139707
0400PCK,5317,30304,106923
0400PCL,1183,7302,25161
0400PES,5274,32491,118769
0400PFS,4704,28728,110263
0400PH5,1976,12351,52071
0400PIO,6057,35646,142386
0400PMR,3294,31478,110037
0400POS,11025,54068,142566
0400PPL,806,5032,48183
0400PS1,3538,21227,81598
0400PSG,4704,30574,113957
0400PSM,4704,29674,115757
0400PST,1736,10814,68508
0400PTC,2086,13041,55358
0400QPM,128,761,3354
0400QTY,1166,7313,29750
0400RAH,3448,24005,106431
0400RAU,7355,46926,206285
0400RBA,1167,7327,30167
0400RCK,6757,38889,155752
0400RDA,807,5010,36311
0400REN,4042,24109,94164
0400RND,6589,35532,128402
0400ROA,1875,11894,47021
0400ROD,6002,35628,122804
0400ROU,6236,37298,128688
0400RPY,2086,13041,57644
0400RST,7216,37688,118598
0400RUU,819,4499,16727
0400S3B,6589,35636,128885
0400SBA,11578,54712,144073
0400SET,6589,38659,141078
0400SFD,2149,14059,51244
0400SIX,7803,55380,182207
0400SKJ,4191,25401,103100
0400SLA,4668,29116,106495
0400SNC,10128,58089,158329
0400SNG,4637,26039,96335
0400SOS,4091,25193,93535
0400SP1,8513,54502,202204
0400SPE,0,0,0
0400SRY,1976,12351,55080
0400STG,962,12140,103578
0400STL,4668,29113,106356
0400SUR,4087,25550,103736
0400SVN,1976,12351,53317
0400SWT,1669,10287,60720
0400TAT,6035,36438,125338
0400TIU,7214,37805,127101
0400TJR,2683,16945,70752
0400TLA,2785,17510,76312
0400TLS,1083,6774,28162
0400TMI,963,14789,96534
0400TMN,1976,12351,52970
0400TMW,4704,32154,117273
0400TNJ,8332,55437,174507
0400TOO,4704,29678,117577
0400TPK,2058,10333,39149
0400TRN,796,11553,68006
0400TSA,961,13275,101146
0400TSH,9342,57171,207015
0400TSK,1976,12351,56174
0400TSX,10289,58033,196346
0400TTP,6077,36368,124831
0400TUI,826,4940,18561
0400TUY,2086,13157,74933
0400TYO,4930,30167,110383
0400UAU,2086,12972,48983
0400UCB,4704,29143,114201
0400UFD,4543,29631,111481
0400UJJ,5317,30536,106781
0400UJN,4705,33419,117219
0400UJR,2708,17133,68875
0400UM1,5158,31781,119511
0400UM2,4962,32661,119341
0400UMA,3935,24818,102990
0400UMD,5311,32385,116959
0400UMJ,3773,22990,112534
0400UMM,5212,32025,119091
0400UMP,5317,31912,113199
0400UOJ,3828,24425,102569
0400URH,3232,20498,77701
0400USM,4139,25692,103485
0400USS,4704,32253,113672
0400VAN,3538,21397,87538
0400VNA,1591,10276,41827
0400VPK,6410,32973,121382
0400VSP,5134,31189,116226
0400WKM,72,451,1805
0400YAA,6044,34752,154149
0400ZAH,2752,17433,74879
04011EP,8483,54395,201463
0401AAN,3538,21535,88041
0401ABL,1957,13290,61026
0401ADI,9797,57422,197692
0401AIM,109,693,3181
0401AIN,11014,67667,271440
0401ALL,4187,25398,93929
0401AMA,2844,17502,70297
0401AMB,4354,27009,102522
0401AMG,2788,17297,69650
0401ANE,3338,20745,84274
0401ANK,3486,20395,94643
0401ANO,3589,24217,93854
0401ARA,11578,62122,160532
0401ATN,4637,28355,102409
0401BCK,11057,62195,244408
0401BDG,5708,33600,119501
0401BEC,3378,22617,91484
0401BEN,5645,31564,109924
0401BFR,10227,54897,155194
0401BKC,11061,62537,245535
0401BLK,1007,6036,65268
0401BMP,6589,41531,152194
0401BPF,3538,22766,90040
0401BPH,4704,30519,114214
0401BPR,4704,29403,117172
0401BPS,3538,22333,105468
0401BRG,4704,29403,115889
0401BSA,1166,7319,29982
0401BSR,11576,62254,168076
0401CAS,3752,24028,102432
0401CEX,2117,13493,55867
0401CHK,128,887,7639
0401CLT,2025,13068,60433
0401CLV,8574,54423,196224
0401CLX,4080,27094,114886
0401CMT,1008,6365,75123
0401CNI,2817,17366,71453
0401CNK,378,2367,8338
0401CRS,2086,15283,98398
0401CVS,6416,37588,128186
0401CVT,5640,35735,127192
0401CWS,1182,6249,22744
0401DAA,2142,12582,47526
0401DAR,1166,7304,30752
0401DC,2832,17659,74312
0401DHC,1183,7398,26146
0401DNE,72,451,1805
0401DOA,2086,13041,52947
0401DPG,4637,29461,112055
0401DSL,11578,61940,165742
0401ECM,6365,46069,181388
0401EDN,4190,24275,94133
0401ENJ,3785,27607,109339
0401EOJ,796,4939,17724
0401EPA,1976,12327,54782
0401EQM,4601,27119,98758
0401ESN,7789,53148,190919
0401EYT,11019,67283,265097
0401FDA,1005,10380,94105
0401FDE,1183,6831,61340
0401FDJ,1039,9072,87747
0401FDS,3538,21747,82517
0401FLC,2165,13958,55761
0401FNN,7214,45542,157854
0401FPL,4413,28011,112148
0401GEA,5581,34452,114453
0401GEE,5317,31443,111935
0401GKC,11578,62211,161730
0401GM,1643,8837,34293
0401GMA,4637,29844,111212
0401GNF,1976,12341,56550
0401GSE,1986,14034,72484
0401HBN,72,451,1805
0401HDH,3538,22879,85683
0401HHH,5317,30763,110429
0401HIO,1980,12250,75561
0401HLL,925,5634,21945
0401HMB,1167,7322,30338
0401HMT,1112,5805,21778
0401HOD,3430,18504,73126
0401HPE,4704,32211,117219
0401HRB,4704,29403,120438
0401HRC,3744,25147,114047
0401HRS,1976,12351,53149
0401HSU,5444,33075,119027
0401HUJ,4738,33897,116562
0401IDO,1166,7319,30058
0401IEK,7214,41157,139537
0401IFA,6589,41972,157008
0401IFB,6589,35500,128571
0401ILE,3287,20671,81889
0401IND,1166,7290,30829
0401IVA,3538,21461,88139
0401IYU,10949,67011,264382
0401JCN,1976,12510,63953
0401JCY,1183,7398,27503
0401JEN,4428,23843,91082
0401JNT,5317,30852,108508
0401JTA,822,5075,49119
0401JUC,4167,24847,91623
0401JUN,1737,13387,90186
0401KAU,5317,30417,107488
0401KBE,378,1650,4832
0401KBU,5685,34461,114171
0401KCC,3732,23184,108798
0401KCF,4811,30725,118360
0401KCT,5150,34280,115255
0401KDO,3669,30858,140267
0401KIE,1661,10305,42496
0401KMJ,4400,27274,108726
0401KMK,0,0,0
0401KNA,946,5151,18405
0401KNB,4704,29592,116969
0401KNL,4704,29678,117584
0401KNM,11025,58108,151042
0401KNS,8713,55205,190734
0401KOB,7214,40412,137114
0401KOJ,4422,27369,109015
0401KON,11300,66111,176953
0401KOT,2974,17814,71049
0401KRY,0,0,0
0401KSD,1976,12620,57448
0401KSR,5124,34123,120153
0401KST,3538,22135,105613
0401KTN,943,19864,72758
0401KWR,1149,13755,83542
0401KYJ,1455,8430,40546
0401LEP,1183,7001,24417
0401LEU,72,451,1805
0401LHS,4634,26377,95531
0401LUM,3772,23904,87487
0401M,5030,31276,118881
0401MAA,4637,29695,107168
0401MAM,2086,12457,46427
0401MBA,3660,24567,107363
0401MBC,6589,41862,160614
0401MEA,4608,27134,98602
0401MHN,11025,56916,147082
0401MKB,3538,23923,112291
0401MKC,6589,35880,137557
0401MLD,1003,11409,95412
0401MLH,4074,26209,106239
0401MPC,6589,44285,168979
0401MPS,3538,23287,105828
0401MRA,10641,45860,130967
0401MRJ,3321,20683,83563
0401MRR,3545,21344,89079
0401MSB,3928,24485,92339
0401MSC,6589,39094,150946
0401MTK,0,0,0
0401MTP,4704,29156,109708
0401MVC,6589,33283,124908
0401MWS,4704,32169,117282
0401MYA,4328,26297,98590
0401MYJ,3225,21208,79439
0401N10,3640,23482,86766
0401NAS,377,2359,9700
0401NAT,3643,24503,106819
0401NBP,4704,32788,117335
0401NCK,3432,19656,83246
0401NMA,3789,21070,78349
0401NPC,3606,23445,90298
0401NTR,9277,56973,207135
0401NYD,1322,20500,101292
0401NYR,11025,61294,159078
0401NYV,4282,27126,125590
0401ODI,1639,10346,43776
0401ODO,2211,14220,51932
0401OGS,2789,17223,71589
0401OHS,2056,13135,52661
0401OIL,918,5560,19774
0401OLJ,5317,30152,107744
0401ONH,3437,18590,73299
0401ONT,378,2367,8137
0401ONY,5080,41567,192641
0401ORC,3812,25033,109747
0401OTM,7794,52474,197356
0401P1M,6544,33257,120828
0401P3B,6589,40127,140326
0401PCE,9430,51832,176392
0401PCK,5317,30602,106865
0401PD1,377,2359,9438
0401PDO,377,2359,9438
0401PLB,5317,30736,109471
0401PMR,2785,30756,109677
0401PNR,5418,33103,118997
0401POS,1709,10728,68359
0401PPL,1006,9138,85054
0401PS1,3538,21326,82124
0401PS4,6589,37397,132511
0401PSN,1166,7290,31627
0401QTY,1166,7310,29749
0401RCK,6720,38845,155479
0401RDA,6299,39555,179028
0401RKN,3468,20360,94391
0401ROA,1942,12033,47324
0401ROK,6938,39441,156752
0401RPL,4704,30216,113489
0401RSE,4128,25661,103705
0401RWE,1464,12629,68588
0401S1S,4704,31429,115204
0401S3B,6589,35347,127847
0401SAQ,2086,12955,48876
0401SBA,11578,54647,143960
0401SDA,3389,23385,96747
0401SEE,925,5628,20581
0401SHL,2031,12119,44698
0401SIX,7806,55341,182325
0401SLT,1276,7840,30159
0401SMJ,5311,32395,116974
0401SNI,2086,13205,90714
0401SOS,4704,31492,115285
0401SOY,4927,30150,110071
0401SPE,0,0,0
0401SPL,4384,28144,112813
0401SPN,4604,25197,77590
0401STG,1005,10283,97317
0401SVN,1976,12351,53303
0401SWM,11025,54792,141474
0401SWT,1723,10514,59907
0401TAL,1171,7322,30450
0401TEU,5478,33107,119073
0401TGS,1976,12351,56563
0401TIT,1038,6700,26642
0401TKY,72,451,1805
0401TLT,5580,33346,153181
0401TMI,1003,12812,92240
0401TNS,543,3558,14386
0401TPK,2070,10496,39505
0401TQU,4704,29488,117440
0401TRN,796,7500,61824
0401TSX,10195,57924,195867
0401TTL,5710,35900,125656
0401TUI,2779,20166,85634
0401TUY,2086,13118,72750
0401TYI,6299,40661,179631
0401UCB,4704,29175,114389
0401UES,4425,26547,100685
0401UJJ,3800,22783,111270
0401UJR,2818,17406,69523
0401UM1,5163,31836,119512
0401UM2,4998,32838,119625
0401UM3,3782,24574,102813
0401UMD,5316,32422,116697
0401UMJ,4712,28529,115678
0401UMM,4919,30317,112501
0401UOU,2797,17272,71880
0401UPS,4704,33226,116451
0401-UR,2747,17140,71545
0401USC,4704,32805,114901
0401VWA,1651,10442,42046
0401VWP,6306,32535,120156
0401.WD,2821,17418,71505
0401WIA,4411,27938,111215
0401WKM,72,451,1805
0401YKA,5192,34083,164332
0401YMK,5275,34167,163974
0402AQN,3538,20907,79524
0402CLT,2006,12856,59091
0402CTY,1965,13195,63838
0402DON,2192,14682,63946
0402KY1,8881,54689,157846
0402LDR,3660,20507,71931
0402MLY,5971,33685,120369
0402MWH,2976,17824,71146
0402RAU,7004,46639,204062
0403BNG,9877,64788,267988
0403DMS,2083,13911,63374
0403DSL,11577,62357,168205
0403GMW,1903,9805,37328
0403INC,4637,29350,111688
0403JCN,1976,12517,62313
0403JOS,9937,56606,160121
0403KBL,4742,25730,78397
0403KSE,7789,55426,181954
0403KY1,9093,54879,154795
0403LMS,4687,27675,101799
0403MKC,6589,46668,179447
0403MKI,378,2367,12056
0403MTW,4704,29506,116752
0403MWF,910,5226,20520
0403NYO,1175,7734,34615
0403QKM,72,451,1805
0403RAU,6262,44608,199195
0403RDA,916,5294,49332
0403SKJ,4032,25012,102175
0403UM2,4981,32693,119466
040HHH,5317,30602,110403
040PLB,5317,30557,109716
0410AAA,3615,21938,80466
0410AAL,829,4862,18287
0410ABT,965,6835,76467
0410ADA,1559,10892,46408
0410AG2,3538,21332,81432
0410AKO,6589,35807,129528
0410AMW,3416,21897,93524
0410ANA,1724,14909,93765
0410ANN,3524,21102,78564
0410AOC,377,2359,9854
0410API,2635,21753,103794
0410APT,377,2359,9438
0410AQA,4634,27200,98580
0410ARA,5754,36066,120641
0410ARL,810,5280,21740
0410ARN,757,4742,35139
0410ASE,818,5125,19182
0410ASN,5627,34518,115446
0410AWC,3394,21275,90755
0410BAT,1600,10103,42516
0410BBP,4704,29403,121076
0410BDN,3421,19185,74909
0410BEN,3405,22898,93132
0410BHS,3538,22653,104895
0410B/M,831,5405,22660
0410BPF,3538,21985,89468
0410BPS,72,451,1805
0410BRG,4704,29403,116990
0410CCR,2828,18758,88131
0410CEX,2097,13442,55757
0410CGR,1166,7292,30083
0410CJA,4661,26595,96294
0410CMH,3435,20285,95036
0410COM,1166,7300,30718
0410CPK,5317,30700,106951
0410CRN,3808,23039,112458
0410CST,3367,18688,80414
0410CUS,4704,28529,112197
0410CUT,4214,24884,91255
0410DCJ,2794,17393,70155
0410DNB,2086,14475,90503
0410DNR,3229,19057,74764
0410DPI,7582,60284,181076
0410DTB,1166,7290,32270
0410EAD,2675,21757,93307
0410EHA,3772,20382,76917
0410EIE,962,9831,89689
0410ENI,958,9528,89073
0410ERO,7214,45777,160279
0410ETJ,4401,27027,105313
0410GRE,6062,33771,120001
0410HCO,4087,24812,92559
0410HMA,2813,17429,70931
0410HMZ,2730,17376,74582
0410HRB,4704,29403,120784
0410IBN,1777,10751,39949
0410IEO,4424,25296,92031
0410ILO,4704,31326,117935
0410ISR,1442,8378,39440
0410ITN,4704,32116,117238
0410J1K,5193,31960,119255
0410JKJ,1207,7841,32125
0410JMN,3794,22755,111369
0410JNC,11025,55830,144090
0410JUO,3493,21655,79936
0410K1M,11025,59466,152585
0410KBM,831,4724,17632
0410KCF,11578,60665,155711
0410KEE,665,4259,18076
0410KLL,3374,21781,90267
0410KNS,8640,55090,189805
0410KOB,7214,40064,136031
0410KSD,1976,12689,57068
0410KWC,4930,31264,118791
0410LAM,1976,12436,60667
0410LAO,377,2597,12307
0410LET,2024,12840,60064
0410LIT,4677,27696,103499
0410LMW,1298,7905,30437
0410LOM,2183,14660,63886
0410LSE,824,5384,21078
0410MAK,4704,28985,109249
0410MIA,3452,21985,93763
0410MKD,2697,17164,69594
0410MLI,3277,20654,81801
0410MRB,2086,13041,51849
0410MRR,3284,20372,84208
0410MSB,3831,24939,106142
0410MUT,4782,30312,119283
0410NA0,1322,12828,91037
0410NAI,3766,20368,76888
0410NBT,4637,28423,102920
0410NCK,3354,19247,82387
0410NJB,834,5108,49840
0410NJR,1083,6774,23968
0410NKO,8991,54474,154213
0410NML,4050,27245,128067
0410NOD,808,4811,17303
0410NPB,3538,23187,105647
0410NSE,5593,34549,115630
0410OAD,3560,30545,139665
0410OAP,11578,61805,165851
