cell_id,lon,lat,inside_nairobi,population_raw,population_corrected,inside_nairobi_dynamic,geometry,index_right,ward,subcounty
26,36.90206456671789,-1.164994946540203,False,9894.1728515625,2988.7340698606745,True,POINT (36.90206456671789 -1.164994946540203),1197.0,Kahawa West,Roysambu  Sub County
28,36.917433179856516,-1.1676034458501208,False,5419.6240234375,1637.1065280232156,True,POINT (36.917433179856516 -1.1676034458501208),1197.0,Kahawa West,Roysambu  Sub County
73,36.89739173952813,-1.171370405145356,False,29171.931640625,8811.96915457302,True,POINT (36.89739173952813 -1.171370405145356),1197.0,Kahawa West,Roysambu  Sub County
74,36.900246431436614,-1.1723988037440518,False,32064.423828125,9685.704642853061,True,POINT (36.900246431436614 -1.1723988037440518),1197.0,Kahawa West,Roysambu  Sub County
75,36.91481071796969,-1.177637871417479,False,12840.1650390625,3878.6303100435175,True,POINT (36.91481071796969 -1.177637871417479),1197.0,Kahawa West,Roysambu  Sub County
76,36.92004867078152,-1.1776896885852932,False,6957.982421875,2101.798647924919,True,POINT (36.92004867078152 -1.1776896885852932),1197.0,Kahawa West,Roysambu  Sub County
77,36.930857132922526,-1.178552568825072,False,9385.9677734375,2835.2204963406275,True,POINT (36.930857132922526 -1.178552568825072),1197.0,Kahawa West,Roysambu  Sub County
120,36.888580663150805,-1.1798902470209944,False,11155.439453125,3369.7250349287583,True,POINT (36.888580663150805 -1.1798902470209944),,,
121,36.89429623769472,-1.1860622062315385,False,37652.671875,11373.747451392646,True,POINT (36.89429623769472 -1.1860622062315385),,,
122,36.90488070786031,-1.1857837543011212,False,48389.4765625,14617.015428654984,True,POINT (36.90488070786031 -1.1857837543011212),1198.0,Kahawa,Roysambu  Sub County
123,36.913575797074444,-1.1818408639183515,False,25895.525390625,7822.264695899345,True,POINT (36.913575797074444 -1.1818408639183515),1197.0,Kahawa West,Roysambu  Sub County
124,36.92212856228713,-1.1856943362709496,False,13219.158203125,3993.112824011222,True,POINT (36.92212856228713 -1.1856943362709496),1197.0,Kahawa West,Roysambu  Sub County
125,36.92807545600585,-1.1815282099185775,False,11996.615234375,3623.8191117031015,True,POINT (36.92807545600585 -1.1815282099185775),1197.0,Kahawa West,Roysambu  Sub County
166,36.864149955729,-1.1960425953834655,False,1888.6083984375,570.4921825924807,True,POINT (36.864149955729 -1.1960425953834655),942.0,Zimmerman Ward,Roysambu  Sub County
169,36.89705474032724,-1.1911079605536716,False,39480.15625,11925.775892338876,True,POINT (36.89705474032724 -1.1911079605536716),,,
170,36.89844494672274,-1.1886467795388063,False,62053.265625,18744.43795372582,True,POINT (36.89844494672274 -1.1886467795388063),1198.0,Kahawa,Roysambu  Sub County
171,36.9117662830458,-1.1892770237588757,False,43229.88671875,13058.457458840712,True,POINT (36.9117662830458 -1.1892770237588757),1198.0,Kahawa,Roysambu  Sub County
172,36.918689602956924,-1.1910950320786013,False,33094.08984375,9996.73598904489,True,POINT (36.918689602956924 -1.1910950320786013),1197.0,Kahawa West,Roysambu  Sub County
205,36.790152076294206,-1.2021127187398584,True,9432.0205078125,2849.1316517552077,True,POINT (36.790152076294206 -1.2021127187398584),1162.0,Karura Ward,Westlands  Sub County
214,36.865088814000664,-1.2017312762188619,True,5648.88525390625,1706.3594974911914,True,POINT (36.865088814000664 -1.2017312762188619),942.0,Zimmerman Ward,Roysambu  Sub County
215,36.87623718148708,-1.1994129527119433,False,8513.4267578125,2571.651919171749,True,POINT (36.87623718148708 -1.1994129527119433),942.0,Zimmerman Ward,Roysambu  Sub County
217,36.89693078125826,-1.2029565379237206,True,55453.484375,16750.841180005853,True,POINT (36.89693078125826 -1.2029565379237206),942.0,Zimmerman Ward,Roysambu  Sub County
218,36.90330986937366,-1.203051261570973,True,89800.421875,27126.02502222203,True,POINT (36.90330986937366 -1.203051261570973),1196.0,Githurai Ward,Roysambu  Sub County
219,36.91161553382196,-1.205573076145467,True,84050.015625,25388.999064342122,True,POINT (36.91161553382196 -1.205573076145467),1196.0,Githurai Ward,Roysambu  Sub County
220,36.918953204127945,-1.1990443891025715,False,65896.6484375,19905.40909578765,True,POINT (36.918953204127945 -1.1990443891025715),1198.0,Kahawa,Roysambu  Sub County
253,36.78524163199623,-1.2139273164384334,True,10785.724609375,3258.0452243749796,True,POINT (36.78524163199623 -1.2139273164384334),,,
254,36.79349963690252,-1.207403876824033,True,2923.671875,883.1539405061042,True,POINT (36.79349963690252 -1.207403876824033),1162.0,Karura Ward,Westlands  Sub County
255,36.80111929039325,-1.2148001368798984,True,2469.91455078125,746.087407033604,True,POINT (36.80111929039325 -1.2148001368798984),1162.0,Karura Ward,Westlands  Sub County
