stop_id,lat,lon,ward,is_existing_stop,nearest_node_degree,road_type,distance_to_major_road,distance_to_nearest_stop,stops_within_500m,stops_within_1km,pop_not_served_nearby,poverty_rate_weighted_pop,route_count_serving,trips_per_day,avg_headway_minutes,service_span_hours,routes_within_500m,avg_speed_daily,avg_speed_peak,avg_speed_offpeak,congestion_pct_daily,congestion_pct_peak,trip_count_daily,trip_count_peak,demand_variability_cv,dominant_congestion_level,ward_pct_access,ward_population,ward_poverty_rate,is_benchmark_ward,ward_category,distance_to_cbd,coverage_efficiency_nearby,demand_supply_ratio,network_accessibility,is_good_stop,pop_within_500m,subcounty_gini,trips_per_1k_pop_per_hour
0001RLW,-1.290884,36.828242,Nairobi Central Ward,True,4,unclassified,185.4041217158844,173.68450669150394,9,57,0,947.8436363292692,7,14,102.85714285714286,1,7,,,,,,,,,,100.0,18997.26888177704,20.0,True,well_served,1.3249021538553027,1.7241379310344829,372.6666666666667,0.021458752967366,1,5590,0.08231028091418335,190.7642631450192
0002KOJ,-1.28123,36.822596,Nairobi Central Ward,True,3,residential,20.568572556179028,5.177885282391098,14,66,0,947.8436363292692,0,0,,0,46,,,,,,,,,,100.0,18997.26888177704,20.0,True,well_served,0.8308508424481096,1.492537313432836,5161.0,0.1390912630952274,1,5161,0.08231028091418335,190.7642631450192
0003NGR,-1.274395,36.823806,Ngara Ward Ward,True,3,primary,58.27568925327863,27.99831251390435,23,64,0,1553.0698902470162,0,0,,0,26,,,,,,,,,,100.0,25589.814342148355,20.0,True,well_served,1.5235631310738722,1.5384615384615383,7734.0,0.0506109677979672,1,7734,0.08231028091418335,80.65709162260065
0004ODN,-1.282769,36.825032,Nairobi Central Ward,True,3,tertiary,67.18323943423933,14.00978507142441,26,76,0,947.8436363292692,0,0,,0,54,,,,,,,,,,100.0,18997.26888177704,20.0,True,well_served,0.9597195176506756,1.2987012987012987,4809.0,0.0439990828375558,1,4809,0.08231028091418335,190.7642631450192
0005AMB,-1.285963,36.826048,Nairobi Central Ward,True,4,secondary_link,60.72515500986375,17.426994955135765,29,65,0,947.8436363292692,0,0,,0,65,,,,,,,,,,100.0,18997.26888177704,20.0,True,well_served,0.9848043786135756,1.5151515151515151,4731.0,0.0648034014553838,1,4731,0.08231028091418335,190.7642631450192
0006BSS,-1.287191,36.828881,Nairobi Central Ward,True,6,unclassified,138.3742566201157,4.739214835916075,35,67,0,947.8436363292692,0,0,,0,60,,,,,,,,,,100.0,18997.26888177704,20.0,True,well_served,1.301515742951185,1.4705882352941178,5094.0,0.0430495569662757,1,5094,0.08231028091418335,190.7642631450192
0007COM,-1.284282,36.826188,Nairobi Central Ward,True,4,secondary,25.466457880996717,10.581688057959171,25,71,0,947.8436363292692,0,0,,0,74,,,,,,,,,,100.0,18997.26888177704,20.0,True,well_served,1.026549126605942,1.3888888888888888,4731.0,0.1511346935047192,1,4731,0.08231028091418335,190.7642631450192
0008MUT,-1.288049,36.833947,Nairobi Central Ward,True,2,residential,226.88309038467315,11.84550728999907,22,63,0,947.8436363292692,0,0,,0,31,,,,,,,,,,100.0,18997.26888177704,20.0,True,well_served,1.8707193178952897,1.5625,13780.0,0.0087764300397363,1,13780,0.08231028091418335,190.7642631450192
0010OTC,-1.284947,36.830994,Nairobi Central Ward,True,4,secondary,4.847180759952018,8.4535081476161,30,74,0,947.8436363292692,0,0,,0,48,,,,,,,,,,100.0,18997.26888177704,20.0,True,well_served,1.5419246727734113,1.3333333333333333,11539.0,0.684090361528831,1,11539,0.08231028091418335,190.7642631450192
0011TUS,-1.285346,36.828574,Nairobi Central Ward,True,5,living_street,189.40529259106748,29.500647099123725,36,70,0,947.8436363292692,0,0,,0,70,,,,,,,,,,100.0,18997.26888177704,20.0,True,well_served,1.2698326423651285,1.408450704225352,5184.0,0.0262597742529062,1,5184,0.08231028091418335,190.7642631450192
0013ALS,-1.244951,36.867888,Babandogo,True,3,primary_link,75.02313291316895,24.61714916928468,18,50,2050,5436.908772292252,0,0,,0,15,,,,,,,,,,95.26260026032786,144280.94162179087,11.1,True,well_served,7.279692698825651,1.8678941227515269,33639.0,0.039461672849322,1,33639,0.07686856717690294,3.493184854040906
0014KRA,-1.262408,36.879051,Kariobangi North Ward,True,3,secondary,30.74435111345562,33.69905888841332,30,107,0,3465.75651710367,0,0,,0,13,,,,,,,,,,99.99999999999984,64689.6208079953,7.5,True,well_served,7.375225041416028,0.9259259259259244,48623.0,0.094505003087884,1,48623,0.16880066154840645,3.524522128159088
010044G,-1.195514202,36.9026953,Kahawa,True,6,residential,25.36224666585398,13.953365420629163,5,7,9936,2342.1790599665173,1,1,1440.0,0,1,,,,,,,,,,50.06246135533196,66325.31993700916,12.5,False,underserved,13.873208059754688,6.257807669416495,8094.0,0.2275982042066078,0,16188,0.14000414860742105,1.2664846559319567
0100AAA,-1.206232309,36.79068089,Karura Ward,True,6,primary,241.09410498946025,242.2312278648012,9,38,19794,501.8775238660341,1,1,1440.0,0,1,,,,,,,,,,51.54050841066344,136158.56870400644,17.9,False,underserved,9.389085914453087,1.3215514977093188,1220.5,0.0247837509313215,0,2441,0.1696428393750311,21.68060393185624
0100AAE,-1.26177,36.82218,Parklands/highridge Ward,True,6,unclassified,349.7814889567041,6.751866408379465,25,49,412,1196.2781051674128,1,1,1440.0,0,1,,,,,,,,,,98.0230418646035,69612.8432531061,17.9,True,well_served,2.794125264811557,1.96046083729207,3149.5,0.0171046654082153,1,6299,0.1696428393750311,40.682148116017906
0100ACP,-1.184212893,36.90751523,Kahawa West,True,6,primary,14.966840640247058,186.572663904908,4,6,11984,405.62379022513335,1,1,1440.0,0,1,,,,,,,,,,30.372611674609445,57375.0964702776,12.5,False,severely_underserved,15.163030600814514,4.338944524944206,3850.5,0.3757787864980633,0,7701,0.14000414860742105,5.437899353452546
0100AEI,-1.225512028,36.78804159,Karura Ward,True,3,secondary,24.02082011492783,32.12785980423918,7,16,19794,501.8775238660341,1,1,1440.0,0,1,,,,,,,,,,51.54050841066344,136158.56870400644,17.9,False,underserved,7.506398363754938,3.0317946123919666,1399.5,0.1199001466067113,0,2799,0.1696428393750311,21.68060393185624
0100AEL,-1.160296798,36.92236662,Kahawa West,True,2,residential,87.2339772787455,529.3084951119171,1,13,11984,405.62379022513335,1,1,1440.0,0,1,,,,,,,,,,30.372611674609445,57375.0964702776,12.5,False,severely_underserved,18.256632320788423,2.169472262472103,54.5,0.0226670049529975,0,109,0.14000414860742105,5.437899353452546
