stop_id,ward
0101ZAK,Karura Ward
0102KHJ,Nairobi Central Ward
0103MSQ,Parklands/highridge Ward
0110AAN,Karura Ward
0110ACG,Karura Ward
0110AEA,Karura Ward
0110AGK,Parklands/highridge Ward
0110AIG,Karura Ward
0110AOA,Karura Ward
0110AOH,Kahawa West
0110APS,Parklands/highridge Ward
0110APT,Parklands/highridge Ward
0110ASP,Ngara Ward Ward
0110AST,Karura Ward
0110AUK,Karura Ward
0110BAA,Karura Ward
0110BDO,Karura Ward
0110BLV,Parklands/highridge Ward
0110BNI,Karura Ward
0110BUK,Kitisuru Ward
0110CEJ,Karura Ward
0110COH,Karura Ward
0110CUT,Karura Ward
0110DAS,Roysambu Ward
0110FRM,Karura Ward
0110FSA,Karura Ward
0110GAC,Karura Ward
0110GTH,Karura Ward
0110HHH,Ngara Ward Ward
0110HUN,Parklands/highridge Ward
0110IDR,Karura Ward
0110ILU,Kitisuru Ward
0110IRT,Ngara Ward Ward
0110ISR,Kahawa West
0110KAU,Karura Ward
0110KGQ,Parklands/highridge Ward
0110KKB,Karura Ward
0110KRS,Karura Ward
0110KSL,Parklands/highridge Ward
0110LAR,Karura Ward
0110LCM,Karura Ward
0110LHL,Kahawa West
0110LIG,Karura Ward
0110LJA,Karura Ward
0110MKT,Karura Ward
0110MTS,Karura Ward
0110MYA,Karura Ward
0110NGP,Karura Ward
0110NKT,Parklands/highridge Ward
0110NSG,Karura Ward
0110OLB,Kitisuru Ward
0110OVL,Karura Ward
0110PBS,Karura Ward
0110PMA,Ngara Ward Ward
0110PMT,Karura Ward
0110/PU,Karura Ward
0110R/B,Karura Ward
0110REU,Karura Ward
0110REV,Karura Ward
0110RID,Roysambu Ward
0110RIS,Karura Ward
0110RNO,Karura Ward
0110ROA,Parklands/highridge Ward
0110ROS,Karura Ward
0110RRS,Karura Ward
0110RTC,Karura Ward
0110RTU,Parklands/highridge Ward
0110SAI,Ngara Ward Ward
0110SIH,Karura Ward
0110SOI,Karura Ward
0110SPU,Kitisuru Ward
0110SRT,Roysambu Ward
0110SSA,Karura Ward
0110TAA,Ngara Ward Ward
0110TOH,Karura Ward
0110TPA,Karura Ward
0110TUQ,Karura Ward
0110TVM,Karura Ward
0110UMI,Karura Ward
0110UMK,Karura Ward
0110UNA,Karura Ward
0110VKS,Karura Ward
0110VMT,Karura Ward
0110WAM,Karura Ward
0110WOJ,Kahawa
0110WRS,Karura Ward
0110YIL,Karura Ward
0110YSP,Karura Ward
01114IA,Kahawa
0111A26,Karura Ward
0111AAR,Karura Ward
0111ACP,Parklands/highridge Ward
0111AES,Karura Ward
0111AIT,Karura Ward
0111AKA,Kitisuru Ward
0111AKS,Parklands/highridge Ward
0111ALA,Karura Ward
0111AMB,Karura Ward
0111AMK,Kitisuru Ward
0111ARD,Karura Ward
0111ATA,Karura Ward
0111AWM,Kahawa
0111AXM,Karura Ward
0111AYS,Kahawa West
0111BAA,Karura Ward
0111BAG,Karura Ward
0111BEK,Karura Ward
0111BPY,Karura Ward
0111BUK,Kitisuru Ward
0111CEP,Karura Ward
0111CNT,Zimmerman Ward
0111CRA,Karura Ward
0111EDH,Kitisuru Ward
0111EED,Karura Ward
0111ENP,Karura Ward
0111EYE,Kahawa West
0111FRM,Karura Ward
0111GIE,Kitisuru Ward
0111GIM,Karura Ward
0111HDE,Karura Ward
0111HRT,Kitisuru Ward
0111IAC,Kitisuru Ward
0111ICT,Karura Ward
0111IGA,Karura Ward
0111IGK,Karura Ward
0111IME,Karura Ward
0111ISE,Karura Ward
0111JEK,Karura Ward
0111JM,Kahawa
0111KAN,Parklands/highridge Ward
0111KAU,Karura Ward
0111KEA,Karura Ward
0111KIV,Karura Ward
0111KNA,Karura Ward
0111KNE,Karura Ward
0111KOG,Karura Ward
0111KRU,Karura Ward
0111LIS,Karura Ward
0111LON,Karura Ward
0111LSO,Karura Ward
0111MAO,Parklands/highridge Ward
0111MCM,Karura Ward
0111MIF,Karura Ward
0111MKT,Karura Ward
0111MME,Karura Ward
0111MRE,Karura Ward
0111NDS,Karura Ward
0111NKM,Parklands/highridge Ward
0111NMO,Zimmerman Ward
0111NOI,Karura Ward
0111NTA,Karura Ward
0111.OJ,Kahawa West
0111OJC,Karura Ward
0111OLB,Karura Ward
0111OLS,Karura Ward
0111RAU,Roysambu Ward
0111RHK,Karura Ward
0111RHR,Karura Ward
0111RNE,Karura Ward
0111RNI,Karura Ward
0111ROT,Karura Ward
0111RPS,Kahawa West
0111RRY,Kitisuru Ward
0111RST,Karura Ward
0111SAR,Karura Ward
0111SNH,Karura Ward
0111SPS,Ngara Ward Ward
0111SPU,Kitisuru Ward
0111TNN,Parklands/highridge Ward
0111TOE,Karura Ward
0111TRI,Karura Ward
0111TRV,Karura Ward
0111TUN,Karura Ward
0111TVI,Karura Ward
0111.UK,Kahawa West
0111UKG,Karura Ward
0111USA,Karura Ward
0111VMA,Karura Ward
0111VWS,Karura Ward
0111WNA,Kahawa West
0111WRB,Kitisuru Ward
0111YSB,Karura Ward
0112LKT,Nairobi Central Ward
0112POL,Karura Ward
0113BAA,Karura Ward
0113GCH,Karura Ward
0113KAR,Karura Ward
0113LMD,Kitisuru Ward
0113RST,Karura Ward
02002IE,Mathare North Ward
0200AAK,Clay City
0200ACM,Kahawa West
0200AKN,Ngara Ward Ward
0200AKO,Parklands/highridge Ward
0200APZ,Ngara Ward Ward
0200AVS,Utalii Ward
0200BBC,Babandogo
0200BDJ,Utalii Ward
0200BER,Karura Ward
0200BLN,Roysambu Ward
0200BUL,Kasarani Ward
0200BWD,Roysambu Ward
0200CRN,Clay City
0200DAU,Karura Ward
0200DBR,Karura Ward
0200DEC,Lucky Summer Ward
0200DMD,Roysambu Ward
0200DRU,Ngara Ward Ward
0200EAC,Dandora Area Ii Ward
0200EBR,Kahawa West
0200EEE,Karura Ward
0200EIE,Roysambu Ward
0200EII,Kasarani Ward
0200ELH,Karura Ward
0200EMF,Lucky Summer Ward
0200EUT,Kiamaiko Ward
0200FHA,Kiamaiko Ward
0200FRS,Clay City
0200GEG,Babandogo
0200GIT,Githurai Ward
0200GNA,Karura Ward
0200GNK,Ngara Ward Ward
0200GPS,Karura Ward
0200GRG,Clay City
0200GTO,Roysambu Ward
0200HHR,Ngara Ward Ward
0200HML,Kasarani Ward
0200HTN,Kariobangi North Ward
0200HUN,Clay City
0200IMI,Clay City
0200IRR,Utalii Ward
0200JIN,Karura Ward
0200KAI,Kahawa West
0200KAW,Kahawa West
0200KBM,Kariobangi North Ward
0200KCI,Kariobangi North Ward
0200KEI,Ngara Ward Ward
0200KEN,Babandogo
0200KEP,Lucky Summer Ward
0200KJN,Zimmerman Ward
0200KS2,Zimmerman Ward
0200KTJ,Kahawa West
0200KUF,Kahawa West
0200KWH,Roysambu Ward
0200LOK,Parklands/highridge Ward
0200LPO,Babandogo
0200MAT,Clay City
0200MBA,Pangani Ward
0200MBC,Kahawa West
0200MGN,Roysambu Ward
0200MNO,Karura Ward
0200MOS,Lucky Summer Ward
0200MRR,Roysambu Ward
0200MSH,Roysambu Ward
0200MTE,Roysambu Ward
0200NEH,Roysambu Ward
0200NES,Kasarani Ward
0200NFR,Clay City
0200NGN,Karura Ward
0200NHL,Karura Ward
0200NYT,Roysambu Ward
0200OIC,Babandogo
0200OTO,Roysambu Ward
0200RAW,Kahawa West
0200RDS,Karura Ward
0200RER,Babandogo
0200RGC,Kasarani Ward
0200RIE,Babandogo
0200RIL,Githurai Ward
0200RKN,Roysambu Ward
0200RND,Roysambu Ward
0200ROC,Roysambu Ward
0200RST,Roysambu Ward
0200RTI,Zimmerman Ward
0200RUK,Roysambu Ward
0200SAK,Babandogo
0200SAN,Karura Ward
0200SHK,Roysambu Ward
0200SHL,Kasarani Ward
0200SHP,Kiamaiko Ward
0200SKU,Ruai Ward
0200SPH,Kahawa West
0200SRA,Utalii Ward
0200STD,Kasarani Ward
0200STM,Roysambu Ward
0200STR,Zimmerman Ward
0200TDS,Kasarani Ward
0200TFC,Lucky Summer Ward
0200TKL,Karura Ward
0200TND,Roysambu Ward
0200TSB,Karura Ward
0200TSO,Ngara Ward Ward
0200TSS,Ngara Ward Ward
0200UET,Kasarani Ward
0200URA,Githurai Ward
0200URD,Parklands/highridge Ward
0200WAN,Babandogo
0200WJY,Roysambu Ward
0200WKU,Clay City
02016EA,Dandora Area I Ward
0201AGH,Parklands/highridge Ward
0201AIK,Kariobangi North Ward
0201AIP,Karura Ward
0201AIS,Lucky Summer Ward
0201ALP,Babandogo
0201ALS,Roysambu Ward
0201AMC,Dandora Area Iii Ward
0201ARI,Kahawa West
0201ARS,Roysambu Ward
0201ASP,Babandogo
0201ATB,Kariobangi North Ward
0201BHC,Karura Ward
0201BPC,Lucky Summer Ward
0201BRA,Zimmerman Ward
0201CAL,Ngara Ward Ward
0201CIA,Dandora Area Ii Ward
0201CIT,Babandogo
0201CJU,Kahawa West
0201CNA,Imara Daima Ward
0201CON,Babandogo
0201DAW,Babandogo
0201DBR,Karura Ward
0201DIA,Ngara Ward Ward
0201DNK,Kasarani Ward
0201DNO,Kiamaiko Ward
0201DUA,Kahawa West
0201DWE,Kahawa West
0201ECH,Babandogo
0201ENL,Kariobangi North Ward
0201EQT,Kasarani Ward
0201EVR,Roysambu Ward
0201FM,Pangani Ward
0201GIT,Githurai Ward
0201GRD,Kasarani Ward
0201GRG,Clay City
0201GTC,Babandogo
0201GTJ,Karura Ward
0201GTO,Roysambu Ward
0201HML,Roysambu Ward
0201HSM,Lucky Summer Ward
0201IAH,Hospital Ward
0201IES,Ngara Ward Ward
0201IIR,Utalii Ward
0201IKN,Karura Ward
0201I/T,Kariobangi North Ward
0201JAM,Karura Ward
0201JNT,Ruai Ward
0201KAI,Kahawa West
0201KAM,Kariobangi North Ward
0201KBM,Kariobangi North Ward
0201KBO,Kahawa West
0201KCB,Karura Ward
0201KCL,Parklands/highridge Ward
0201KEE,Lucky Summer Ward
0201KEP,Lucky Summer Ward
0201KFS,Roysambu Ward
0201KGM,Karura Ward
0201KIH,Kahawa West
0201KJN,Zimmerman Ward
0201KMT,Clay City
0201KRK,Ngara Ward Ward
