route_id,variant_id,new_stops,new_stop_coords,quality_scores,pop_served,equity_score,coverage_score,temporal_equity_score,performance_score,speed_score,congestion_score,demand_match_score,equity_multiplier,final_score,total_pop_served
50204001511,50204001511_C,"['CANDIDATE_Nairobi West Ward_46', 'CANDIDATE_Nairobi West Ward_39', 'CANDIDATE_Nairobi West Ward_19']","[(-1.3239254445562485, 36.81177110743243), (-1.3242383152605572, 36.80948459699007), (-1.3196147412610424, 36.7998238813814)]","[0.83015364, 0.8155003, 0.8033208]","[8719, 8719, 8719]",0.75,0.17438,0.0,0.6275673249589304,0.5667540059492495,0.7187873034734518,0.15874877273178972,1.5,0.30279678090155454,26157
50702003311,50702003311_B,"['CANDIDATE_Pipeline Ward_23', 'CANDIDATE_Imara Daima Ward_46']","[(-1.3238112153440054, 36.89342008500604), (-1.3326658568376504, 36.89554209749721)]","[0.95024467, 0.8523578]","[4986, 18571]",0.75,0.15704666666666667,0.21477100942681004,0.4248692130351527,0.3707049932968318,0.506115542642634,0.1028027394083938,1.5,0.29975800587499213,23557
30600017A11,30600017A11_B,"['CANDIDATE_Airbase Ward_26', 'CANDIDATE_Roysambu Ward_9']","[(-1.266298577523929, 36.86528431892141), (-1.268917054846389, 36.85775677859107)]","[0.9595554, 0.9594944]","[16457, 3865]",0.875,0.13548,0.0,0.42207259976980027,0.35476922249026677,0.5230276656891004,0.37733156778959226,1.75,0.29964125512239886,20322
30600018C11,30600018C11_A,['CANDIDATE_Airbase Ward_28'],"[(np.float64(-1.26870887983987), np.float64(36.85419534404116))]",[np.float64(0.9705673)],[np.int64(16457)],1.0,0.10971333333333333,0.0,0.40138107904178366,0.3380399410020152,0.49639278610143633,0.34631033489019186,2.0,0.2980507660418855,16457
40705017A01,40705017A01_A,['CANDIDATE_Airbase Ward_18'],"[(np.float64(-1.2674884456231574), np.float64(36.875785167024446))]",[np.float64(0.9412542)],[np.int64(16457)],1.0,0.10971333333333333,0.0,0.44354955528228973,0.3701349549745192,0.5536714557439455,0.28452239557454706,2.0,0.29721627039264,16457
70100203411,70100203411_A,['CANDIDATE_Nairobi West Ward_19'],"[(np.float64(-1.3196147412610424), np.float64(36.7998238813814))]",[np.float64(0.8033208)],[np.int64(8719)],0.75,0.05812666666666667,0.0,0.9043785541754699,0.880586875409012,0.9400660723251566,0.09274775911755936,1.5,0.2959448747027279,8719
30007004111,30007004111_A,['CANDIDATE_Airbase Ward_28'],"[(np.float64(-1.26870887983987), np.float64(36.85419534404116))]",[np.float64(0.9705673)],[np.int64(16457)],1.0,0.10971333333333333,0.0,0.39617577313368224,0.3352610025891134,0.48754792895053556,0.30622951074894833,2.0,0.2909975812390787,16457
20801025A11,20801025A11_A,['CANDIDATE_Airbase Ward_31'],"[(np.float64(-1.2516177), np.float64(36.8720704))]",[np.float64(0.9909643)],[np.int64(16457)],1.0,0.10971333333333333,0.0,0.3870259197433872,0.32860380745948436,0.4746590881692414,0.31311943754347615,2.0,0.2902010995801989,16457
50700033H01,50700033H01_B,"['CANDIDATE_Pipeline Ward_23', 'CANDIDATE_Imara Daima Ward_46']","[(-1.3238112153440054, 36.89342008500604), (-1.3326658568376504, 36.89554209749721)]","[0.95024467, 0.8523578]","[4986, 18571]",0.75,0.15704666666666667,0.21477100942681004,0.39032287624114637,0.3192067450960412,0.496997072958804,0.08044360197422903,1.5,0.28949486790106616,23557
30907003211,30907003211_A,['CANDIDATE_Airbase Ward_28'],"[(np.float64(-1.26870887983987), np.float64(36.85419534404116))]",[np.float64(0.9705673)],[np.int64(16457)],1.0,0.10971333333333333,0.0,0.3970165309702991,0.336063218653436,0.4884464994455937,0.28721596276789557,2.0,0.28831370060924416,16457
50703033J01,50703033J01_B,"['CANDIDATE_Pipeline Ward_23', 'CANDIDATE_Imara Daima Ward_46']","[(-1.3238112153440054, 36.89342008500604), (-1.3326658568376504, 36.89554209749721)]","[0.95024467, 0.8523578]","[4986, 18571]",0.75,0.15704666666666667,0.21477100942681004,0.38444272492282416,0.31412263011705566,0.48992286713147704,0.07976454668919142,1.5,0.2882169793446461,23557
50205012611,50205012611_C,"['CANDIDATE_Nairobi West Ward_46', 'CANDIDATE_Nairobi West Ward_39', 'CANDIDATE_Nairobi West Ward_19']","[(-1.3239254445562485, 36.81177110743243), (-1.3242383152605572, 36.80948459699007), (-1.3196147412610424, 36.7998238813814)]","[0.83015364, 0.8155003, 0.8033208]","[8719, 8719, 8719]",0.75,0.17438,0.0,0.5659911056551377,0.5035937762066824,0.6595870998278206,0.14301456490774786,1.5,0.2881214058671897,26157
40702002001,40702002001_B,"['CANDIDATE_Upper Savanna Ward_7', 'CANDIDATE_Upper Savanna Ward_48']","[(-1.272541763213726, 36.92195021861954), (-1.2751169, 36.9205886)]","[0.85630924, 0.81447166]","[13463, 13463]",0.75,0.17950666666666668,0.0,0.4360789845533113,0.36112279327704355,0.5485132714677128,0.2907631455165789,1.5,0.2866082687381491,26926
21000017B11,21000017B11_B,"['CANDIDATE_Roysambu Ward_24', 'CANDIDATE_Airbase Ward_9']","[(-1.2606441325508777, 36.85590063059065), (-1.2606569585087073, 36.85442068987691)]","[0.9353178, 0.91894686]","[3865, 16457]",0.875,0.13548,0.0,0.44189490722607383,0.3669398200142595,0.5543275380437953,0.25896063798072144,1.75,0.285850077142323,20322
40702196111,40702196111_B,"['CANDIDATE_Upper Savanna Ward_7', 'CANDIDATE_Upper Savanna Ward_48']","[(-1.272541763213726, 36.92195021861954), (-1.2751169, 36.9205886)]","[0.85630924, 0.81447166]","[13463, 13463]",0.75,0.17950666666666668,0.0,0.42901401088430213,0.3670525635703048,0.521956181855298,0.28561226274470836,1.5,0.28442264158856667,26926
50205012511,50205012511_C,"['CANDIDATE_Nairobi West Ward_46', 'CANDIDATE_Nairobi West Ward_39', 'CANDIDATE_Nairobi West Ward_19']","[(-1.3239254445562485, 36.81177110743243), (-1.3242383152605572, 36.80948459699007), (-1.3196147412610424, 36.7998238813814)]","[0.83015364, 0.8155003, 0.8033208]","[8719, 8719, 8719]",0.75,0.17438,0.0,0.5615180493902878,0.49784090884004106,0.657033760215658,0.11643203484712975,1.5,0.283239415105127,26157
