route_id,variant_id,new_stops,new_stop_coords,quality_scores,pop_served,equity_score,coverage_score,temporal_equity_score,performance_score,speed_score,congestion_score,demand_match_score,equity_multiplier,final_score,total_pop_served
10000114011,10000114011_A,['CANDIDATE_Karura Ward_25'],"[(np.float64(-1.1729004757439392), np.float64(36.69832042781997))]",[np.float64(4.841102999999999e-19)],[np.int64(2803)],0.75,0.018686666666666667,0.0,0.4104623804941805,0.3500998052593802,0.5010062433463809,0.552,1.5,0.24830147609883613,2803
70400012611,70400012611_B,"['CANDIDATE_Karen Ward_39', 'CANDIDATE_Karen Ward_41']","[(-1.420855158669465, 36.688114646247385), (-1.3708408, 36.6744965)]","[2.6110518e-11, 3.4374267e-13]","[991, 991]",1.0,0.013213333333333334,0.0,0.5,0.5,0.5,0.2581,2.0,0.24664300000000003,1982
80000115011,80000115011_A,['CANDIDATE_Uthiru/ruthimitu Ward_14'],"[(np.float64(-1.255790746569852), np.float64(36.70591884197248))]",[np.float64(0.0013639573)],[np.int64(5457)],1.0,0.03638,0.0,0.33390661072859396,0.29937888518905575,0.38569819903790115,0.37767795554672234,2.0,0.24526101547772713,5457
70400012611,70400012611_A,['CANDIDATE_Karen Ward_39'],"[(np.float64(-1.420855158669465), np.float64(36.688114646247385))]",[np.float64(2.6110518e-11)],[np.int64(991)],1.0,0.006606666666666667,0.0,0.5,0.5,0.5,0.2574,2.0,0.242574,991
40705019C11,40705019C11_B,"['CANDIDATE_Pipeline Ward_4', 'CANDIDATE_Upper Savanna Ward_28']","[(-1.299296200990657, 36.87998585871159), (-1.2762342, 36.9045926)]","[0.032371506, 2.9780883e-06]","[4986, 13463]",0.75,0.12299333333333333,0.0,0.41038600644607737,0.35470282416502696,0.49391077986765297,0.1909001888104939,1.5,0.24105922961078957,18449
40703196011,40703196011_B,"['CANDIDATE_Pipeline Ward_4', 'CANDIDATE_Upper Savanna Ward_28']","[(-1.299296200990657, 36.87998585871159), (-1.2762342, 36.9045926)]","[0.032371506, 2.9780883e-06]","[4986, 13463]",0.75,0.12299333333333333,0.0,0.41034978441784115,0.35167343838432386,0.4983643034681171,0.18117810460763856,1.5,0.23959367257471403,18449
80000119A11,80000119A11_B,"['CANDIDATE_Karura Ward_48', 'CANDIDATE_Uthiru/ruthimitu Ward_12']","[(-1.2152530645823834, 36.74240767052658), (-1.2239591447890836, 36.74285511606953)]","[1.7698004e-09, 7.505364e-10]","[2803, 5457]",0.875,0.05506666666666667,0.0,0.4444114531931723,0.37104113748689826,0.5544669267525835,0.22775938255656034,1.75,0.23945619802211854,8260
50205012611,50205012611_A,['CANDIDATE_Nairobi West Ward_19'],"[(np.float64(-1.3196147412610424), np.float64(36.7998238813814))]",[np.float64(8.839407e-05)],[np.int64(8719)],0.75,0.05812666666666667,0.0,0.5659911056551377,0.5035937762066824,0.6595870998278206,0.14828123157441453,1.5,0.23659740586718975,8719
4070500SK11,4070500SK11_B,"['CANDIDATE_Pipeline Ward_4', 'CANDIDATE_Njiru Ward_31']","[(-1.299296200990657, 36.87998585871159), (-1.2633616, 36.9016683)]","[0.032371506, 1.951578e-07]","[4986, 6785]",0.875,0.07847333333333334,0.0,0.3937858731331396,0.34426878575520403,0.4680615042000429,0.17272141508496475,1.75,0.23336388688937265,11771
40702196112,40702196112_A,['CANDIDATE_Upper Savanna Ward_21'],"[(np.float64(-1.2884768), np.float64(36.9091186))]",[np.float64(0.00014828234)],[np.int64(13463)],0.75,0.08975333333333334,0.0,0.44458210152498423,0.36988604700585226,0.5566261833036823,0.18993496306601743,1.5,0.2327956647648995,13463
