cell_id,lon,lat,inside_nairobi,population_raw,population_corrected
0,36.668782324384324,-1.165733963250385,False,4899.4111328125,1479.9657530319935
1,36.67543672701437,-1.1679757740710577,False,2851.202392578125,861.2630746006007
2,36.68926997604133,-1.165172667714417,False,1454.953857421875,439.49809943589696
3,36.69770436432493,-1.167777360555599,False,683.3732299804688,206.42663975198488
4,36.709963691227266,-1.1615857827542182,False,519.629150390625,156.96444450330785
5,36.71899313338355,-1.161481556397721,False,659.9405517578125,199.3483276178811
6,36.72531673525535,-1.1672003957773704,False,1791.6929931640625,541.2169336170866
7,36.730702889319886,-1.1698347274192804,False,3373.41845703125,1019.0089485685429
8,36.73869098563992,-1.1683481907164726,False,5360.2880859375,1619.18291372681
9,36.754613041189586,-1.1670429895819314,False,9149.6650390625,2763.8404988791654
10,36.75835046608578,-1.1671175458900143,False,10819.16015625,3268.1451043335105
11,36.77161497422534,-1.163280674687849,False,11112.95703125,3356.8923642717104
12,36.77604415578723,-1.1634632464825454,False,4705.515625,1421.3957119698302
13,36.783381624377306,-1.1676473713181592,False,3944.282958984375,1191.450062328943
14,36.79730389150035,-1.164531607850986,False,5197.64404296875,1570.0530066821982
15,36.808529466478085,-1.1678558030107073,False,6198.7158203125,1872.446887627057
16,36.81124856946388,-1.1671393545949629,False,10247.68359375,3095.5191053647454
17,36.82356332533454,-1.162910061646793,False,19149.8046875,5784.583972744168
18,36.82746870497967,-1.1686338328261212,False,18837.908203125,5690.369361466771
19,36.841024298354206,-1.168398103269956,False,16948.62890625,5119.674520496713
20,36.84900763147802,-1.1659000325777422,False,14133.1796875,4269.211411727403
21,36.86206554454368,-1.1634457019538864,False,5564.70654296875,1680.9316234171977
22,36.86969111014742,-1.1697251623961096,False,1843.839599609375,556.968865754204
23,36.87828946219181,-1.162242754822044,False,1010.2171630859375,305.1564287959788
24,36.888863737388455,-1.1685744024039466,False,4681.74609375,1414.2156465982946
25,36.89693868783949,-1.1627183058105155,False,9484.0576171875,2864.850508098168
26,36.90206456671789,-1.164994946540203,False,9894.1728515625,2988.7340698606745
27,36.909086344894426,-1.1633511287940808,False,6015.90673828125,1817.225724631055
28,36.917433179856516,-1.1676034458501208,False,5419.6240234375,1637.1065280232156
29,36.93091662602721,-1.1619679755766128,False,7804.9228515625,2357.6340527965576
30,36.94139289847923,-1.1613848766371575,False,9957.091796875,3007.740003789297
31,36.9447151631227,-1.1634405771616654,False,11207.748046875,3385.525898591903
32,36.95498061915117,-1.1615858735845899,False,8102.5498046875,2447.5382649281496
33,36.96052331322279,-1.161834140126162,False,3237.756103515625,978.0294039383315
34,36.96937900297668,-1.1647780444184417,False,1228.2861328125,371.02855061748795
35,36.97899323948014,-1.1638549725372678,False,798.8152465820312,241.29822460164965
36,36.995247407142095,-1.1630122079270826,False,707.581298828125,213.73917423222667
37,37.00403067972474,-1.1629596358470302,False,1518.4539794921875,458.67958950273805
38,37.01073549490752,-1.1652631683558947,False,1381.78125,417.3948404709233
39,37.019708017290824,-1.1666597599309352,False,1520.500244140625,459.29770492910956
40,37.026088176258206,-1.1685415062902884,False,1303.296142578125,393.68683394550783
41,37.03235603027775,-1.165048601020981,False,909.3213500976562,274.67881754859235
42,37.04087662248747,-1.165908787116693,False,701.4945068359375,211.90053618980224
43,37.05673489741344,-1.1664327412605175,False,591.536376953125,178.68546970882517
44,37.05934460809233,-1.163253947425981,False,531.1881713867188,160.45607946699303
45,37.06828583901558,-1.1625057745123402,False,455.92254638671875,137.72058241214492
46,37.080011575699174,-1.167268914001818,False,321.53143310546875,97.12504148355211
47,37.08805330145466,-1.1618468596231013,False,246.29183959960938,74.39740776549775
48,36.67005548502631,-1.1778933703971344,False,4135.0146484375,1249.06440837108
49,36.68053416566593,-1.1759713787439379,False,3635.05712890625,1098.0421759395829
50,36.69221095973602,-1.1761862468728803,False,2810.581298828125,848.9926555704282
51,36.69524005414269,-1.1770841868537356,False,1203.0245361328125,363.39777684909376
52,36.709495896117865,-1.178159076298537,False,671.1318359375,202.72888027398744
53,36.71355764688278,-1.1744112813657495,False,1526.669189453125,461.1611590356005
54,36.72458123990456,-1.1730307653337906,False,4829.2529296875,1458.7730555619082
55,36.732792324736735,-1.1740253316856004,False,6234.390625,1883.2231804819287
56,36.73867630158515,-1.1701994148655124,False,5678.5654296875,1715.324992018899
57,36.750649619149414,-1.17546871277653,False,11724.59765625,3541.6507267819925
58,36.76417403284692,-1.1715152152777915,False,15445.517578125,4665.629487672037
59,36.76750928366254,-1.171286141850005,False,16089.39453125,4860.125481978309
60,36.781564087235395,-1.177876681523654,False,7043.3603515625,2127.588770161454
61,36.78921264167941,-1.1759938022907372,False,4123.91259765625,1245.710810459153
62,36.79833350499297,-1.1722981669111474,False,3847.6689453125,1162.2658547535195
63,36.80275716754988,-1.1712764059740384,False,4237.07763671875,1279.8945884098075
64,36.809595246457164,-1.1785848910156962,False,6768.8798828125,2044.676419551478
65,36.82145648710673,-1.1719585162655366,False,13347.3291015625,4031.829423839404
66,36.83034806234773,-1.178390465172648,False,13948.8857421875,4213.541715888451
67,36.83695568919893,-1.1762567381879048,False,14431.478515625,4359.3185772269335
68,36.852963363272146,-1.1770277442112353,False,11932.900390625,3604.5727606307732
69,36.85762853116324,-1.172251836707541,False,3739.08203125,1129.4649916123046
70,36.865064747377666,-1.1755806292935256,False,1344.655517578125,406.18026568812417
71,36.87763799751689,-1.17280017527522,False,1046.55078125,316.13172952271856
72,36.88226153326941,-1.1706246698319196,False,9204.744140625,2780.4782501946947
